가수명,노래제목,발매일,장르,가사,좋아요수
V.O.S,잘 살고 있다,2019.12.02,발라드,한잔 술에 잊자 그만나도 숨 좀 쉬자 제발마치 주문처럼매일 읊조렸던넌 모르는내 슬픈 혼잣말친구들 통해 들은 네 소식너무 잘 살고 있어날 만날 때보다 더너는 없었지만억지로 삼킨 밥들이친구가 되어줬던 술이겨우 날 숨 좀 쉬게 해많이 잊었어 이제네 얼굴도 까마득해잘 살고 있다 너처럼두려워 듣기 싫던 네 소식막상 듣게 되니 또이별한 듯이 아파너는 없었지만억지로 삼킨 밥들이친구가 되어줬던 술이겨우 날 숨 좀 쉬게 해많이 잊었어 이제네 얼굴도 까마득해잘살고 있다 너처럼너 없는 많은 밤들이혼자 버틸 날들이아직 너무 많은데가끔은 너 철없던나의 장난에입꼬리 올라가던그 미소가 그리워가진 건 없지만널 가진 게 전부였어그래서 무너졌나 봐너밖에 없었으니까언젠간 나도 나만사랑해줄 사람 만나잘 살고 싶다 너처럼나도 그럴 수 있을까,"38,511"
주보라,네가 없다 (Without You),2013.02.19,발라드,서툰 작별이었는지 아련한 슬픔 속에 눈물이멈추질 않아너무나 어렸던 걸까내 이기적임에 너를보내고 말았던 걸까우리 헤어지자고 말한지딱 하루 뒤 잠깐의 실수였단 걸뒤늦게 깨달아버린 순간아침마다 듣던 네 목소리따스한 네 품이 벌써그리운 내가 싫어져바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는지내 마음을 알 수 없는게 더 아파서툰 사랑이었을까 나 항상 너에게 없는사람처럼 느껴질때가 많았어우리 헤어지자고 말한지딱 하루 뒤 잠깐의 실수였단 걸뒤늦게 깨달아버린 순간아침마다 듣던 네 목소리따스한 네 품이 벌써그리운 내가 싫어져바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는지내 마음을 알 수 없는게 더 아파이미 뱉어버린 작별인사 안에서우리 사랑했던 그 기억들만아침마다 듣던 네 목소린 이제어제처럼 오늘도 나에게널 사랑한다 할 것만 같은데들리지 않아바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는걸까내 마음을 알 수 없는게 더 아파,"2,949"
휘인 (Whee In),헤어지자 (Prod. 정키),2019.09.04,발라드,그럴 수도 있지 생각했어잊어 보려 했어지난 날의 모든 걸 노력했어다시 시작해 보려고 했어내겐 너 아니면 안 되는 걸 아니까정말 그랬어쉽게 잊혀지진 않았어누구도 그랬을 거야아무렇지 않진 않아도이렇게까지 힘이 드는 건널 처음 만나설레었던 기억들이꼭 어제처럼선명해서 지워지질 않아내가 알던 네 모습도 이젠거짓말 같아서믿을 수 없는 걸헤어지자어떻게 네가 그럴 수 있어마치 내게 했던 말이 무색해지게다 끝인 거야쉽게 꺼낸 말은 아니야누구도 그랬을 거야아무렇지 않진 않아도이렇게까지 힘이 드는 건널 처음 만나설레었던 기억들이꼭 어제처럼선명해서 지워지질 않아내가 알던 네 모습도 이젠거짓말 같아서믿을 수 없는 걸다 없었던 기억처럼널 지울 수 있게아무 말도 하지 말아 줘왜 바보처럼네가 했던 그 모든 말들을난 믿었는데어떻게 다 잊으라는 건지내가 알던 네 모습도 이젠거짓말 같아서처음 만나 함께한 모든 게헤어지자이제 우리,"115,651"
헤이즈 (Heize),비가 오는 날엔 (2021),2021.08.04,발라드,세상이 어두워지고조용히 비가 내리면여전히 그대로오늘도 어김없이 난벗어나질 못하네너의 생각 안에서이제 끝이라는 걸 알지만미련이란 걸 알지만이제 아닐 걸 알지만그까짓 자존심에널 잡지 못했던 내가조금 아쉬울 뿐이니까비가 오는 날엔 나를 찾아와밤을 새워 괴롭히다비가 그쳐가면 너도 따라서서서히 조금씩 그쳐가겠지취했나 봐그만 마셔야 될 것 같애비가 떨어지니까나도 떨어질 것 같애뭐 네가 보고 싶다거나그런 건 아냐다만 우리가 가진 시간이 좀날카로울 뿐참 좋아했었던 이런 날이면아직 너무 생생한기억을 꺼내놓고추억이란 덫에일부러 발을 들여놔벗어나려고 발버둥조차치지 않아이제 너를 다 지워냈지만모두 다 비워냈지만또다시 비가 내리면힘들게 숨겨놨던너의 모든 기억들이다시 돌아와 널 찾나 봐비가 오는 날엔 나를 찾아와밤을 새워 괴롭히다비가 그쳐가면 너도 따라서서서히 조금씩 그쳐가겠지너에게로이젠 돌아갈 길은 없지만지금 행복한 너를 보며난 그래도 웃어볼게널 잡을 수 있었던힘이 내겐 없었으니까어차피 끝나버린 걸 이제 와어쩌겠어뒤늦게 후회나 하는 거지덜 떨어진 애처럼비는 항상 오니까계속 반복되겠지그치고 나면 그제서야나도 그치겠지비는 항상 오니까계속 반복되겠지그치고 나면 그제서야나도 그치겠지,"73,204"
스트레이 (The Stray),"그냥, 묻고 싶었어",2021.08.04,발라드,외로운 내 마음의 불꽃은아픔으로 가득 찬 과거를 불태워차디찬 이곳에서 벗어나게 해줄 거야네가 닿지 않는 곳으로아마도 기억 못 했으면 좋겠어그래도 난 네가 밉지 않아다음 눈이 세상을 덮을 때쯤엔네게 꼭 물어볼 게 있어나를 사랑했을 때 넌 행복했었니네가 볼 때 나는 좋은 사람이었니다시 함께 할 수는 없겠니혹시라도 말이야그냥 묻고 싶었어아마도 기억 못 했으면 좋겠어그래도 난 네가 밉지 않아다음 눈이 세상을 덮을 때쯤엔네게 꼭 물어볼 게 있어나를 사랑했을 때 넌 행복했었니네가 볼 때 나는 좋은 사람이었니다시 함께 할 수는 없겠니혹시라도 말이야그냥 묻고 싶었어,"1,759"
정키,부담이 돼 (Feat. 휘인 Of 마마무),2017.03.08,발라드,더는 할 말이 없어다른 이유도어떤 변명도 난의미 없단 걸 알아끝이란 게 다 그렇잖아더는 물어보지 마언제부턴지왜 그런 건지 난그저 함께한 이 모든 게힘들었다고 말하잖아니 품에 안기던그날 밤에도입을 맞추던그 순간에도 나에게그 모든 게더는 너에게 말할 수 없는상처로 남아내겐 그 모든 게 다부담이 돼그렇게 내게말하지 마나도 내 맘을 어쩔 수 없는 걸오늘까지도 많이 힘들었단 걸너는 알고 있잖아니 품에 안기던그날 밤에도입을 맞추던그 순간에도 나에게그 모든 게더는 너에게 말할 수 없는상처로 남아내겐 그 모든 게 다처음엔 나도아무렇지 않았어깊어지면 질수록너에 품에서 문득끝이라는 게 너무 두려워서애써 괜찮은 척만또 난니 품에 안기던그날 밤에도입을 맞추던그 순간에도 미안해이해해줘더는 너에게 말할 수 없는그 모든 것이 내겐부담이 돼마주하는 지금에도 난니 품에 안기던그날 밤에도입을 맞추던그 순간에도 미안해이런 나를 이해해줘쉽지 않을 걸 알지만더는 할 수 없는 걸이 모든 게,"134,027"
나비 (Navi),잘 된 일이야,2011.01.19,발라드,Hello Hello Hello Hello HelloDon't cry Don't cry Don't cryDon't Hello가슴이 널 안 놔줘아무리 떼어내도계속 너를 잡고 안 놔줘아무리 잘라내도먼저 뒤돌아설 거면서왜 사랑하게 해눈물이 대체 무슨 죄야차라리 잘 됐어잘된 일이야아프게 상처만 줄 너라면더 힘들기 전에미워지기 전에지금이 좀 더 나을지도 몰라가슴아더 사랑하지 말아줘난 웃고 싶은데너를 잊고 싶은데내가 보내줄게잘 가라 내 사랑아아파도 웃으며 안녕질리지도 않나봐한없이 생각이 나정말 마르지도 않나봐한없이 눈물이 나결국 떠나 버릴 거면서왜 보고 싶게 해두 눈이 대체 무슨 죄야차라리 잘 됐어잘된 일이야아프게 상처만 줄 너라면더 힘들기 전에미워지기 전에지금이 좀 더 나을지도 몰라가슴아더 사랑하지 말아줘난 웃고 싶은데너를 잊고 싶은데내가 보내줄게잘 가라 내 사랑아아파도 웃으며 안녕Hello Hello Hello Hello HelloDon't cry Don't cry Don't cryDon't Hello괜찮아 사랑아나를 떠나도 웃으며 널 놓아줄게다 줬으니 됐어그냥 그걸로 됐어아마 언젠가는나의 곁이 그리워너도 아파 올 거야우는 날이 올 거야(가슴아)(더 사랑 하지 말아줘)난 웃고 싶은데(너를 잊고 싶은데)(내가 보내줄게)(잘 가라 내 사랑아)슬퍼도 웃으며 안녕,"42,204"
펀치 (Punch),안녕 내 전부였던 너,2021.03.10,발라드,안녕 안녕이제 인사를 해야지너와 나의 이별인데아니 아니나는 그게 안될것 같아너를 보내는 일영활보고 밥을 먹는 일도손을 잡고 거릴 걷는 일도앞으로는 혼자란 사실에그게 나를 울게 만드는걸안녕 내 전부였던 너사랑해 너라서 난 좋았어다신 너 같은 사람만날수 없을거야 잘가고마워사실 사실너도 많이 힘들었겠지이별을 말하기조금만 더 참을순 없었니한번만 더 기횔 줄 순 없니너에게 난 말하지 못했어좋은 기억 마저 사라질까봐안녕 내 전부였던 너사랑해 너라서 난 좋았어다신 너 같은 사람만날수 없을거야 잘가고마워너무 아파서 소리도 낼 수 없어너를 어떻게 나 잊겠니제발 이 말만 듣고 가진심을 다해 사랑했단 말잊으라는 건 못해난 그냥 이게 편해 미안내 사랑,"14,131"
펀치 (Punch),Done For Me,2019.08.18,발라드,지울게 너에게 남겨줬던 추억까지도바랄게 너와의 기억도 남지 못하게더는 다가갈 수 없어 네게이런 마음이 너무 두려워너의 기억 모두 가져가 줘다 지워줘done for me깨끗이 지워질 수 있을까널 벗어날 수 있을까사랑했던 기억도다 비워낼 수 있을까더 이뤄질 수는 없어난 다가갈 수 없어미친 듯이 뛰어가너 없는 곳에 가사랑은 갔고남겨진 추억들은 아팠고네가 내게 남겨줬던기억은 가시가 됐고다 사라졌으면 해모두 지워졌으면 해나 쉴 수 있게 널떠날게 가질 수 없는너란 걸 알고 있어보낼게 너와의 기억 모두 다 버릴게더는 다가갈 수 없어 네게이런 마음이 너무 두려워너의 기억 모두 가져가 줘다 지워줘done for me나의 기억에서 떠나가줘너의 추억들도 가져가 줘지워줘 너의 그리움까지도그리워도 그립지는 않게모든 순간들을 잊어볼게 다 잊을게너의 작은 흔적까지도지울게 너에게남겨줬던 추억까지도바랄게 너와의 기억도 남지 못하게더는 다가갈 수 없어 네게이런 마음이 너무 두려워너의 기억 모두 가져가 줘다 지워줘done for me너를 떠날 수밖에멀어질 수밖에 없으니까이런 나를 제발 용서해줘언젠가는 우리 다시 만날 수 있기를done for medone for me,"100,916"
펀치 (Punch),이 밤의 끝,2018.05.31,발라드,널 보면 나와 달라이렇게 난 네 생각뿐인데널 사랑했던 만큼 아파야 하는 걸까난 이 밤의 끝을 잡고 잠 못 드네차가웠던 시간이 다 지나가면따스한 저 햇살들이날 비춰 줄까결국 우린 끝난 사이라 하지만돌아올 것만 같았어널 보면 나와 달라왜 나만 또 네 생각뿐인데끝이 보이지 않던 슬픔이 잦아들면난 이 밤의 끝을 잡고 잠이 드네네가 날 떠나고 후회한 나잖아지금 넌 아무렇지 않을까그 차가운 바람이 불어오는 게난 무서워다시 안을 수 있다면 난 다 할 텐데너 없는 밤 아프게 지워가지만내 맘은 널 그리워해널 보면 나와 달라누가 그래 넌 나와 같다고끝이 보이지 않던 슬픔이 잦아들면난 이 밤의 끝을 잡고 잠 못 드네I'll always be with you all night함께 했던 추억뿐이지만난 이제 너를 모두 지울래내 맘이 너무 아파서널 보면 나와 달라아직도 난 널 사랑하나 봐그래 너라도 정말 행복하면 좋겠어난 이 밤의 끝을 잡고 잠 못 드네째깍 째깍 초침 소리시간은 또 흐르는데넌 어디에 있니,"47,764"
전상근,너무 보고싶어,2021.07.25,발라드,혼자 이별을 하고가버리면 난 어떡하라고너 없는 하루를 살아보고너 없는 채로 잠들어본다잊을 수 있다고 다짐을 해 보고다 잊은 척 웃어도 보고별일 아닌 듯 혼자 영화도 보고너의 빈자릴 채워 본다가끔 보고 싶어 견디기 힘들면나 하루 종일 너를 찾아 헤매보고손잡고 걷던 거리에 우두커니 서서혹시 니가 올까 가슴 설레 본다잘 살 수 있다고 다짐을 해 보고태연한 척 웃어도 보고드라마처럼 혼자 취해도 보고널 잊으려고 하면 할수록너무 보고 싶어 견디기 힘들어비틀거리며 너를 또 찾아 헤매고나란히 걷던 이 길에 나만 혼자남아 눈물 삼키면서 너를 기다린다날 그토록 사랑해주던너란 사람은 어디까지 간거니너무 보고 싶어 견디기 힘들어오늘따라 난 니가 너무 보고 싶어나 술에 취한 채 추억에 취한 채비틀거리면서 너를 기다린다다시 너를 기다린다,"18,720"
장범준,잠이 오질 않네요,2020.10.24,발라드,당신은 날 설레게 만들어조용한 내 마음 자꾸만 춤추게 해얼마나 얼마나 날 떨리게 하는지당신이 이 밤을 항상 잠 못 들게 해매일 같은 밤 너를 생각하면서유치한 노랠 들으며심장이 춤을 추면서오오 난 너를 기다리면서유치한 노랠 부르며심장이 춤을 추면서 워나를 떨리게 하나요그대 왜 나를 설레게 하나요 자꾸만오늘도 잠 못 이루는 이 밤아름다운 그대나를 아프게 하나요웃는 그대 왜 자꾸 설레게 하나요하염없이오늘 밤 잠이 오질 않네요보고 싶은 그대여당신이 날 힘들게 만들어갑자기 내 마음 자꾸만 멍들게 해얼마나 얼마나 잠 못 들게 하는지고요한 내 마음 항상 시끄럽게 해매일 같은 밤 너를 생각하면서유치한 노랠 들으며심장이 춤을 추면서워 난 너를 기다리면서유치한 노랠 부르며심장이 춤을 추면서 워나를 떨리게 하나요그대 왜 나를 설레게 하나요 자꾸만오늘도 잠 못 이루는 이 밤아름다운 그대나를 아프게 하나요웃는 그대 왜 자꾸 설레게 하나요하염없이오늘 밤 잠이 오질 않네요보고 싶은 그대여매일 밤 너를 생각하면서유치한 노랠 들으며심장이 춤을 추면서워오 난 너를 기다리면서유치한 노랠 부르며심장이 춤을 추면서 워나를 떨리게 하나요그대 왜 나를 설레게 하나요 자꾸만오늘도 잠 못 이루는 이 밤아름다운 그대여나를 아프게 하나요웃는 그대 왜 자꾸 설레게 하나요하염없이오늘 밤 잠이 오질 않네요보고 싶은 그대여,"159,019"
강고은,같은 시간 속 우린 여기까지인 거야,2021.07.24,발라드,어떻게 말을 꺼 내야 할까내 하루 속엔 없어 네가떨어지지 않는 내 마른 입술 끝에이 계절을 난 끝내려고 해갇혀버린 시간 속 연기처럼흩어져 기억 너머점점 멀어지는 우리내 마음이 고장 난 듯소리쳐도 들리지 않아넌 답을 원했고 난 줄 수가 없어같은 시간 속 우리는 여기까진 거야미안해 미워해 그냥 날 놓아줘맞지 않는 퍼즐 속 조각처럼흩어져 기억 너머점점 멀어지는 너를내 마음이 고장 난 듯소리쳐도 들리지 않아넌 답을 원했고 나는 줄 수가 없어같은 시간 속 우리는 여기까진 거야 미안해 미워해 그냥 날가끔은 울컥 쏟아지는 너를 참고차가운 말들로 돌아선이기적인 나는 상처만 주는 날들이기에내 사랑은 망가졌고네 마음도 듣지를 않아항상 답을 원했고 넌 줄 수가 없어같은 시간 속 우리는 여기까진 거야 미안해 미워해 미워해도 돼그만 날 놓아줘,"4,474"
권진아,끝,2016.09.19,발라드,한참을 아무 말도 없었다 어색한 공기만 우릴 감싸고 있다너는 고개를 돌린 채로한숨만 내쉰다내가 처음 보는 표정을하고 서있다차라리 화를 내지싫어졌다고 말을 하지마지막 순간까지좋은 사람으로 기억되고 싶었니내가 갈게애써 미안한 표정 하지마싫어진 거잖아 그래 널 떠나 줄게비겁해지는 널 보는 게 아파내가 갈게 널 보내줄게조금씩 넌 변했다매일 오던 연락 난 기다린다서운해 하는 날 보는 게 슬프다넌 여기까진가 봐 끝이었나 봐난 시작이었는데Oh 그냥 헤어지자고 내게 말을 하지마지막 순간까지좋은 사람으로 기억되고 싶었니내가 갈게애써 날 위하는 척 하지마넌 준비했잖아 그래 널 떠나줄게내가 몰랐던 널 보는 게 아파내가 갈게 널 보내줄게니가 없는 하루가사실 난 잘 그려지질 않아그렇게 말했었잖아내가 너의 행복이랬잖아나 없인 살 수 없을 거라고말했었잖아내가 갈게애써 미안한 표정 하지마싫어진 거잖아 이제 널 떠나줄게비겁해지는 널 보는 게 아파내가 갈게 널 보내줄게,"140,297"
빅마마,하루만 더,2021.06.24,발라드,하루만 더 우리 이별을늦춘다면 어땠을까그럴 일 없다는 걸 나는 알면서도아직 널 보낼 수가 없나봐한번만 나 이렇게 널 불러볼게오늘까지만 그리워할게끝이 보이지않아 내 사랑은가슴깊이 이별을 남기고새까맣게 흉터가 되어도또 다시 너를 그리워해내 전부인 널단 하루만 더 너를 사랑할게단 한순간도 못 잊어너 없는 세상이너무나 아파서 무너져가다시 돌아와줘시간에 기대어 애써봐도이별은 왜 계속 선명해질까잘 지내란 인사 못할 것 같아오늘까지만 눈물 흘릴게 oh혼자 남은 내 맘을 이해해줘네 흔적이 그대로 남아서내 입술이 추억을 부르고여전히 너를 사랑한다내 전부인 널단 하루만 더 너를 사랑할게단 한순간도 못 잊어너 없는 세상이너무나 아파서 무너져가다시 돌아와줘시간에 기대어 애써봐도이별은 왜 계속 선명해질까우리의 이별 끝에아직도 서있어지금도 네게 하고 픈 말뜨겁게 널 사랑한다고단 한순간도 못 보내너 없는 세상이너무나 아파 목이 메어와정말 끝난거니참 행복했었던 그때 우린추억마저 사라지고 있잖아,"58,503"
그리즐리 (Grizzly),달라,2017.09.21,,니가 나와 다르다는 걸인정하는 것과는 달라현실에 안주하려는 너와낭만적인 삶을 살길 원하는 나내가 다른 남자들처럼Smart 하고 Gentle 하길원하는 너But난 비가 와도 비를 맞으며나와 함께 걸어줄 여자가 필요 한 나넌 춤추길 원하고난 천천히 걷기를 원하지우린 다른 분위기를 가졌고여태까지 그걸 몰랐어넌 춤추길 원하고난 천천히 걷기를 원하지우린 다른 분위기를 가졌고여태까지 그걸 몰랐어도대체 우리가 왜 여기까지오게 된 것 같아너와 난 달라 달라달라 달라밤새 비를 맞으며나 홀로 강을 거닐 때도너와 난 달라 달라달라 달라도대체 왜너와 난 달라 달라 달라 달라도대체 왜너와 난 달라 달라결국 똑같애길거리에 파는 Neckless원치 않아 Big diamond사랑이란 단어와 가치관을나누기엔너무 애매해진 우리 사이에밝은 빛을 볼 수 있을까우린 어디까지 온 걸까그래 내 말을 더 이상 믿지 않아도 돼근데 대화를 나눠버렸어 헤밍웨이그저 자그마한 이해를 바랄 뿐결국 우리 대화는산을 넘어 Yellow Moon 위에사랑은 떼쓴다고 되는 게 아니잖어You know that더 이상 니 입술과 맞출 수 없는 나는 이미 막을 내렸을지도모르겠어 그냥 우린 달랐던 거야도대체 우리가 왜 여기까지오게 된 것 같아너와 난 달라 달라달라 달라밤새 비를 맞으며나 홀로 강을 거닐 때도너와 난 달라 달라달라 달라우리가 매일 걷던 그 거리도더 이상 생각이 안 나우리가 매일 입 맞췄던 그 거리도생각이 안 나,"11,082"
황인욱,이별주,2019.11.01,발라드,오늘이 지나면 널 지워야겠지흔들리는 이 술잔이너의 마음 같아서아무 말 안 해도 난 알 수가 있어오늘 넌 이별을 말할 것 같아하필 왜 이 포장마차니우리 처음 만났던 이 자리에서왜 눈물 나게 해이 술잔을 마시고 나면넌 이별을 말할 것만 같아제발 이러지 마 나를 떠나지 마다 소용없는 거잖아이 술잔을 마시고 나면너 혼자만 끝인 거잖아 우리가왜 헤어져야 해이 술잔을 비우지 마 제발하필 왜 이 포장마차니우리 매일 만났던 그 자리에서왜 눈물 나게 해이 술잔을 마시고 나면넌 이별을 말할 것만 같아제발 이러지 마 나를 떠나지 마다 소용없는 거잖아이 술잔을 마시고 나면너 혼자만 끝인 거잖아 우리가왜 헤어져야 해이 술잔을 비우지 마 제발이 한잔의 술잔을 마시면 난너 없이 살아갈 수 있을까이제 우린 남이 되겠지이 술잔을 마시고 나면이 한잔에 끝낼 거라면넌 사랑을 말하면 안 되잖아그때 왜 그랬어 날 왜 사랑했어어차피 남이 될 거잖아이 술잔을 마시고 나면너 혼자만 끝인 거잖아 우리가왜 헤어져야 해이 술잔을 비우지 마 제발,"60,815"
